# This data is from the Supporting Information of Kandler et al. (2011), see https://doi.org/10.1111/j.1600-0889.2011.00550.x
situation	wavelength (nm)	particle diameter d (µm)	0 <= k < 0.000025	0.000025 <= k < 0.00005	0.00005 <= k < 0.0001	0.0001 <= k < 0.0002	0.0002 <= k < 0.0004	0.0004 <= k < 0.0008	0.0008 <= k < 0.0016	0.0016 <= k < 0.0032	0.0032 <= k < 0.0064	0.0064 <= k < 0.0128	0.0128 <= k < 0.0256	0.0256 <= k < 0.0512	0.0512 <= k < 0.1024	0.1024 <= k < 0.2048	0.2048 <= k < 0.4096	0.4096 <= k < 0.8192	0.8192 <= k < 1.6384		1.48 <= n < 1.497	1.497 <= n < 1.514	1.514 <= n < 1.532	1.532 <= n < 1.55	1.55 <= n < 1.568	1.568 <= n < 1.586	1.586 <= n < 1.604	1.604 <= n < 1.623	1.623 <= n < 1.642	1.642 <= n < 1.661	1.661 <= n < 1.68	1.68 <= n < 1.699	1.699 <= n < 1.719	1.719 <= n < 1.929	1.929 <= n < 2.164	2.164 <= n < 2.428	2.428 <= n < 2.724	2.724 <= n < 3.057
dust	660	0.141 <= d < 0.2	141	60	149	63	143	60	16	5	1	6	2	0	26	0	0	0	0		0	0	141	205	279	33	1	2	1	0	1	0	0	8	0	0	1	0
dust	660	0.2 <= d < 0.283	91	153	137	136	177	75	18	6	3	2	0	0	4	0	0	0	0		0	0	75	469	205	42	4	2	2	0	1	0	0	2	0	0	0	0
dust	660	0.283 <= d < 0.4	170	49	53	46	55	42	18	14	3	4	2	2	23	0	0	0	0		1	0	142	158	98	21	10	11	1	2	0	0	2	4	1	2	28	0
dust	660	0.4 <= d < 0.566	285	26	47	10	25	51	31	9	2	3	5	2	26	0	0	0	0		1	0	253	91	92	37	7	4	2	4	1	0	2	6	2	3	17	0
dust	660	0.566 <= d < 0.8	301	47	122	1	16	88	59	21	6	3	2	0	7	0	0	0	0		0	0	230	147	148	78	19	6	7	16	0	0	0	5	1	4	12	0
dust	660	0.8 <= d < 1.13	407	106	291	1	36	203	138	35	14	7	2	1	12	0	0	0	0		0	0	272	273	393	183	38	11	13	37	6	1	1	8	1	3	13	0
dust	660	1.13 <= d < 1.6	486	137	487	2	46	298	303	45	10	6	2	0	10	0	0	0	0		0	0	283	365	613	382	65	24	23	52	2	2	0	6	0	0	15	0
dust	660	1.6 <= d < 2.26	318	80	375	9	48	345	326	43	9	4	3	2	2	0	0	0	0		0	0	169	256	497	480	68	19	16	43	1	2	1	2	2	4	4	0
dust	660	2.26 <= d < 3.2	231	33	186	13	80	312	291	35	12	3	3	1	1	0	0	0	0		0	0	111	175	325	443	61	19	28	21	1	2	0	4	1	5	5	0
dust	660	3.2 <= d < 4.53	296	17	122	42	167	476	418	108	15	3	6	1	3	0	0	0	0		1	0	107	234	318	703	128	47	46	65	3	1	0	6	4	4	7	0
dust	660	4.53 <= d < 6.4	121	7	41	67	167	427	376	74	11	6	2	0	0	0	0	0	0		0	0	51	152	221	648	113	28	37	33	1	2	2	6	0	2	3	0
dust	660	6.4 <= d < 9.05	58	5	26	61	119	268	227	43	11	5	3	0	0	0	0	0	0		0	0	33	116	156	395	58	22	14	17	5	0	3	5	0	1	1	0
dust	660	9.05 <= d < 12.8	114	4	31	89	137	188	111	27	8	10	1	1	0	0	0	0	0		0	0	84	187	115	234	40	12	21	11	3	0	3	9	1	1	0	0
dust	660	12.8 <= d < 18.1	66	4	23	80	131	203	108	31	10	2	0	0	0	0	0	0	0		0	0	54	144	133	232	58	8	12	11	1	1	0	1	1	1	1	0
dust	660	18.1 <= d < 25.6	11	0	9	23	33	80	70	20	0	1	0	0	0	0	0	0	0		0	0	8	29	44	123	31	8	2	1	0	0	1	0	0	0	0	0
dust	660	25.6 <= d < 36.2	2	0	1	1	6	21	18	7	0	0	0	0	0	0	0	0	0		0	0	2	4	10	27	10	3	0	0	0	0	0	0	0	0	0	0

dust	670	0.05 <= d < 0.1	25	3	51	54	69	26	4	0	4	2	2	0	8	0	0	0	0		0	0	27	12	179	21	1	0	1	1	2	0	0	4	0	0	0	0
dust	670	0.1 <= d < 0.141	88	15	106	100	140	57	9	2	8	6	0	0	26	0	0	0	0		0	0	93	84	321	39	2	2	2	1	3	2	1	5	0	1	1	0
dust	670	0.141 <= d < 0.2	140	27	137	120	144	57	8	4	1	8	0	0	26	0	0	0	0		0	0	141	205	279	33	1	2	1	0	1	0	0	8	0	0	1	0
dust	670	0.2 <= d < 0.283	82	90	190	180	174	61	12	4	3	2	0	0	4	0	0	0	0		0	0	75	469	205	42	4	2	2	0	1	0	0	2	0	0	0	0
dust	670	0.283 <= d < 0.4	167	34	56	66	57	42	13	13	2	5	1	16	9	0	0	0	0		1	0	142	158	98	21	10	11	1	2	0	0	2	4	1	2	28	0
dust	670	0.4 <= d < 0.566	278	17	32	41	35	55	19	7	2	7	3	12	14	0	0	0	0		1	0	253	91	92	37	7	4	2	4	1	0	2	6	2	3	17	0
dust	670	0.566 <= d < 0.8	293	32	68	79	27	90	50	19	3	5	0	7	0	0	0	0	0		0	0	230	147	148	78	19	6	7	16	0	0	0	5	1	4	12	0
dust	670	0.8 <= d < 1.13	398	72	107	228	57	229	104	25	12	6	3	12	0	0	0	0	0		0	0	272	273	393	183	38	11	13	37	6	1	1	8	1	3	13	0
dust	670	1.13 <= d < 1.6	475	73	172	395	69	376	216	32	8	5	1	10	0	0	0	0	0		0	0	283	365	613	382	65	24	23	52	2	2	0	6	0	0	15	0
dust	670	1.6 <= d < 2.26	307	50	123	307	58	445	227	30	8	3	2	4	0	0	0	0	0		0	0	169	256	497	480	68	19	16	43	1	2	1	2	2	4	4	0
dust	670	2.26 <= d < 3.2	225	27	42	180	86	396	203	26	10	2	2	2	0	0	0	0	0		0	0	111	175	325	443	61	19	28	21	1	2	0	4	1	5	5	0
dust	670	3.2 <= d < 4.53	292	15	41	149	186	609	296	62	12	3	5	4	0	0	0	0	0		1	0	107	234	318	703	128	47	46	65	3	1	0	6	4	4	7	0
dust	670	4.53 <= d < 6.4	119	7	29	98	182	516	292	41	8	5	2	0	0	0	0	0	0		0	0	51	152	221	648	113	28	37	33	1	2	2	6	0	2	3	0
